生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
百貨公司,bǎi huò gōng sī,trung tâm thương mại,ห้างสรรพสินค้า,department store,我今天跟台灣朋友一起去百貨公司，裡面什麼東西都有。,"Hôm nay tôi đi trung tâm thương mại với bạn Đài Loan, bên trong cái gì cũng có.",วันนี้ฉันไปห้างสรรพสินค้ากับเพื่อนชาวไต้หวัน ข้างในมีของทุกอย่าง,"Today I went to a department store with my Taiwanese friend, and it had everything inside."
毛衣,máo yī,áo len,เสื้อไหมพรม / เสื้อกันหนาว,sweater,天氣變冷了，我在百貨公司買了幾件毛衣。,"Trời trở lạnh, tôi mua vài chiếc áo len ở trung tâm thương mại.",อากาศเริ่มหนาว ฉันซื้อเสื้อไหมพรมหลายตัวที่ห้างสรรพสินค้า,"The weather got cold, so I bought several sweaters at the department store."
雖然……但是……,suī rán...dàn shì...,mặc dù... nhưng...,แม้ว่า...แต่...,although... but...,雖然餐廳有一點貴，但是大家還是吃得很開心。,"Mặc dù nhà hàng hơi đắt, nhưng mọi người vẫn ăn rất vui.",แม้ว่าร้านอาหารจะแพงนิดหน่อย แต่ทุกคนก็ยังกินอย่างมีความสุข,"Although the restaurant was a little expensive, everyone still enjoyed the meal."
手套,shǒu tào,găng tay,ถุงมือ,gloves,冬天快到了，小玲買了一雙手套送給媽媽。,"Mùa đông sắp đến, Tiểu Linh mua một đôi găng tay tặng mẹ.",ฤดูหนาวใกล้จะมาถึง เสี่ยวหลิงซื้อถุงมือหนึ่งคู่ให้แม่,"Winter is coming, so Xiaoling bought a pair of gloves for her mother."
什麼……都……,shén me...dōu...,cái gì cũng...,อะไร...ก็...,everything / anything all...,這家百貨公司很大，衣服、鞋子和食物什麼東西都有。,"Trung tâm thương mại này rất lớn, quần áo, giày dép và thức ăn cái gì cũng có.",ห้างสรรพสินค้านี้ใหญ่มาก เสื้อผ้า รองเท้า และอาหาร อะไรก็มีหมด,"This department store is very large; it has clothes, shoes, food, and everything else."
餐廳,cān tīng,nhà hàng,ร้านอาหาร,restaurant,買完東西以後，我們到樓下的餐廳吃晚餐。,"Sau khi mua đồ xong, chúng tôi đến nhà hàng ở tầng dưới ăn tối.",หลังซื้อของเสร็จ พวกเราไปร้านอาหารชั้นล่างเพื่อกินอาหารเย็น,"After shopping, we went to the restaurant downstairs for dinner."
只要……就……,zhǐ yào...jiù...,chỉ cần... thì...,ขอแค่...ก็...,as long as... then...,我不上課的時候，只要有空就找工作做。,"Khi tôi không đi học, chỉ cần có thời gian rảnh thì tôi tìm việc làm.",เวลาที่ฉันไม่มีเรียน ขอแค่มีเวลาว่างก็หางานทำ,"When I do not have class, I look for work as long as I have free time."
有空,yǒu kòng,rảnh / có thời gian,มีเวลาว่าง,have free time,小王週末有空，所以他想去書店工作。,"Cuối tuần Tiểu Vương rảnh, nên cậu ấy muốn đi làm ở hiệu sách.",วันหยุดสุดสัปดาห์เสี่ยวหวังมีเวลาว่าง ดังนั้นเขาอยากไปทำงานที่ร้านหนังสือ,"Xiaowang has free time on the weekend, so he wants to work at a bookstore."
工作,gōng zuò,làm việc / công việc,ทำงาน / งาน,work / job,小玲有很多工作經驗，所以找工作比較容易。,Tiểu Linh có nhiều kinh nghiệm làm việc nên tìm việc dễ hơn.,เสี่ยวหลิงมีประสบการณ์ทำงานมาก ดังนั้นหางานง่ายกว่า,"Xiaoling has a lot of work experience, so it is easier for her to find a job."
書店,shū diàn,hiệu sách,ร้านหนังสือ,bookstore,我最喜歡在書店工作，因為那裡的客人很有禮貌。,Tôi thích làm việc ở hiệu sách nhất vì khách ở đó rất lịch sự.,ฉันชอบทำงานที่ร้านหนังสือที่สุด เพราะลูกค้าที่นั่นมีมารยาทมาก,I like working at the bookstore most because the customers there are polite.
