生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
累,lèi,mệt,เหนื่อย,tired,弟弟今天很累，回家以後什麼事都不想做。,"Em trai hôm nay rất mệt, sau khi về nhà việc gì cũng không muốn làm.",วันนี้น้องชายเหนื่อยมาก หลังกลับบ้านเรื่องอะไรก็ไม่อยากทำ,My younger brother is very tired today and does not want to do anything after going home.
什麼……都……,shén me...dōu...,cái gì cũng...,อะไร...ก็...,anything / everything all,小王考完試以後，什麼功課都不想寫。,"Sau khi thi xong, Tiểu Vương không muốn làm bất cứ bài tập nào.",หลังจากเสี่ยวหวังสอบเสร็จ เขาไม่อยากทำการบ้านอะไรเลย,"After finishing the exam, Xiaowang does not want to do any homework."
不想,bù xiǎng,không muốn,ไม่อยาก,do not want to,今天下雨，小美不想出門，只想在家看電視。,"Hôm nay trời mưa, Tiểu Mỹ không muốn ra ngoài, chỉ muốn ở nhà xem ti vi.",วันนี้ฝนตก เสี่ยวเหม่ยไม่อยากออกจากบ้าน แค่อยากดูโทรทัศน์ที่บ้าน,"It is raining today, so Xiaomei does not want to go out and only wants to watch TV at home."
網球,wǎng qiú,quần vợt,เทนนิส,tennis,哥哥星期六下午會去運動場打網球。,Chiều thứ bảy anh trai sẽ đến sân vận động chơi quần vợt.,บ่ายวันเสาร์พี่ชายจะไปสนามกีฬาเล่นเทนนิส,My older brother will go to the sports field to play tennis on Saturday afternoon.
看電視,kàn diàn shì,xem ti vi,ดูโทรทัศน์,watch TV,弟弟做完作業以後，和爸爸一起看電視。,"Sau khi làm xong bài tập, em trai xem ti vi cùng bố.",หลังทำการบ้านเสร็จ น้องชายดูโทรทัศน์กับพ่อ,"After finishing homework, my younger brother watches TV with Dad."
打遊戲,dǎ yóu xì,chơi game,เล่นเกม,play games,小明晚上打遊戲打得太晚，早上起不來。,Tiểu Minh buổi tối chơi game quá muộn nên buổi sáng dậy không nổi.,เสี่ยวหมิงเล่นเกมดึกเกินไป ตอนเช้าจึงตื่นไม่ไหว,"Xiaoming played games too late at night, so he could not get up in the morning."
拿著,ná zhe,cầm / đang cầm,ถืออยู่,holding,小華拿著手機，幫朋友在公園裡照相。,"Tiểu Hoa cầm điện thoại, chụp ảnh cho bạn trong công viên.",เสี่ยวหัวถือโทรศัพท์ ช่วยถ่ายรูปให้เพื่อนในสวนสาธารณะ,Xiaohua is holding a cellphone and taking a picture for her friend in the park.
照相,zhào xiàng,chụp ảnh,ถ่ายรูป,take a photo,他們到車站旁邊的公園玩，媽媽幫大家照相。,"Họ đến công viên cạnh nhà ga chơi, mẹ chụp ảnh cho mọi người.",พวกเขาไปเล่นที่สวนข้างสถานี แม่ช่วยถ่ายรูปให้ทุกคน,"They went to the park beside the station, and Mom took pictures for everyone."
照相機,zhào xiàng jī,máy ảnh,กล้องถ่ายรูป,camera,王先生旅行以前，買了一台新的照相機。,"Trước khi đi du lịch, ông Vương mua một chiếc máy ảnh mới.",ก่อนเดินทางท่องเที่ยว คุณหวังซื้อกล้องถ่ายรูปใหม่หนึ่งตัว,Mr. Wang bought a new camera before traveling.
錄影,lù yǐng,quay video,ถ่ายวิดีโอ,record video,小美跳舞的時候，媽媽用手機幫她錄影。,"Khi Tiểu Mỹ múa, mẹ dùng điện thoại quay video cho cô ấy.",ตอนเสี่ยวเหม่ยเต้น แม่ใช้โทรศัพท์ถ่ายวิดีโอให้เธอ,"When Xiaomei danced, Mom recorded a video of her with a cellphone."
