生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
星期,xīng qī,tuần / thứ trong tuần,สัปดาห์ / วันในสัปดาห์,week / weekday,昨天看新聞的時候，姐姐注意到星期，於是上網查了更多資料。,"Trong bữa tối, chị gái và gia đình nói về tuần, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น พี่สาวกับครอบครัวคุยกันเรื่องสัปดาห์ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the older sister and the family talked about week, and everyone said it was important."
同學,tóng xué,bạn học,เพื่อนร่วมชั้น,classmate,這些同學正在教室裡討論明天的活動。,"Sáng nay, các bạn học tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้เพื่อนร่วมชั้นรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the classmate gathered at the school gate and prepared to join the activity together."
現在,xiàn zài,bây giờ,ตอนนี้,now,朋友問起現在的時候，小美想了一下才回答。,"Trong bữa tối, Tiểu Mỹ và gia đình nói về bây giờ, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวเหม่ยกับครอบครัวคุยกันเรื่องตอนนี้ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaomei and the family talked about now, and everyone said it was important."
工作,gōng zuò,công việc / làm việc,งาน / ทำงาน,work / job,小玲找到工作以後，每天早上都要坐公車去公司。,"Sau khi Tiểu Linh tìm được việc, mỗi sáng cô ấy đều phải đi xe buýt đến công ty.",หลังจากเสี่ยวหลิงหางานได้ ทุกเช้าเธอต้องนั่งรถเมล์ไปบริษัท,"After Xiaoling found a job, she had to take the bus to the company every morning."
難找,nán zhǎo,khó tìm,หายาก,hard to find,昨天看新聞的時候，弟弟注意到難找，於是上網查了更多資料。,"Trong bữa tối, em trai và gia đình nói về khó tìm, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น น้องชายกับครอบครัวคุยกันเรื่องหายาก ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the younger brother and the family talked about hard to find, and everyone said it was important."
時間,shí jiān,thời gian,เวลา,time,姐姐最近常常遇到和時間有關的問題，所以想請朋友幫忙。,"Trong bữa tối, chị gái và gia đình nói về thời gian, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น พี่สาวกับครอบครัวคุยกันเรื่องเวลา ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the older sister and the family talked about time, and everyone said it was important."
結婚,jié hūn,kết hôn,แต่งงาน,to get married,有些年輕人想先有穩定的工作，再考慮結婚。,Một số người trẻ muốn có công việc ổn định trước rồi mới nghĩ đến kết hôn.,คนหนุ่มสาวบางคนอยากมีงานมั่นคงก่อน แล้วค่อยคิดเรื่องแต่งงาน,Some young people want to have a stable job before thinking about getting married.
生,shēng,sinh,คลอด / ให้กำเนิด,to give birth,王太太去年生了一個孩子，現在每天都很忙。,"Năm ngoái bà Vương sinh một đứa trẻ, bây giờ mỗi ngày đều rất bận.",ปีที่แล้วคุณนายหวังคลอดลูกหนึ่งคน ตอนนี้ทุกวันยุ่งมาก,Mrs. Wang gave birth to a child last year and is very busy every day now.
孩子,hái zi,con / trẻ em,ลูก / เด็ก,child,小華看到一位孩子需要幫忙，就走過去問他怎麼了。,"Sáng nay, các con tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้ลูกรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the child gathered at the school gate and prepared to join the activity together."
生活,shēng huó,cuộc sống,ชีวิต,life,弟弟最近常常遇到和生活有關的問題，所以想請朋友幫忙。,"Trong bữa tối, em trai và gia đình nói về cuộc sống, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น น้องชายกับครอบครัวคุยกันเรื่องชีวิต ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the younger brother and the family talked about life, and everyone said it was important."
