生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
游泳,yóu yǒng,bơi lội,ว่ายน้ำ,to swim / swimming,放學後，小明去游泳池游泳，因為他下個月要參加比賽。,"Sau giờ học, Tiểu Minh đi bơi ở hồ bơi vì tháng sau cậu ấy sẽ tham gia cuộc thi.",หลังเลิกเรียน เสี่ยวหมิงไปว่ายน้ำที่สระว่ายน้ำ เพราะเดือนหน้าเขาจะเข้าร่วมการแข่งขัน,"After school, Xiaoming went swimming at the pool because he will join a competition next month."
跳高,tiào gāo,nhảy cao,กระโดดสูง,high jump,體育課的時候，小美練習跳高，老師說她比上次進步很多。,"Trong giờ thể dục, Tiểu Mỹ luyện nhảy cao, và giáo viên nói cô ấy tiến bộ hơn lần trước rất nhiều.",ในคาบพละ เสี่ยวเหม่ยฝึกกระโดดสูง และครูบอกว่าเธอก้าวหน้ากว่าครั้งก่อนมาก,"During PE class, Xiaomei practiced the high jump, and the teacher said she improved a lot compared with last time."
跳舞,tiào wǔ,nhảy múa,เต้นรำ,to dance,晚上七點，小華在學校的舞台上跳舞，很多同學都為她拍手。,"Lúc bảy giờ tối, Tiểu Hoa nhảy múa trên sân khấu của trường, và nhiều bạn học vỗ tay cho cô ấy.",ตอนหนึ่งทุ่ม เสี่ยวหัวเต้นรำบนเวทีของโรงเรียน และเพื่อนหลายคนก็ปรบมือให้เธอ,"At seven in the evening, Xiaohua danced on the school stage, and many classmates clapped for her."
滑雪,huá xuě,trượt tuyết,เล่นสกี,to ski / skiing,寒假的時候，小明跟家人去山上滑雪，回家後還想再去一次。,"Vào kỳ nghỉ đông, Tiểu Minh đi trượt tuyết trên núi với gia đình, sau khi về nhà cậu ấy vẫn muốn đi thêm lần nữa.",ตอนปิดเทอมฤดูหนาว เสี่ยวหมิงไปเล่นสกีบนภูเขากับครอบครัว กลับบ้านแล้วยังอยากไปอีกครั้ง,"During winter vacation, Xiaoming went skiing in the mountains with his family and wanted to go again after he came home."
博物館,bó wù guǎn,bảo tàng,พิพิธภัณฑ์,museum,爸爸帶小華去博物館，順便拍了幾張照片。,"Chiều cuối tuần, Tiểu Hoa cùng bạn đi đến bảo tàng, họ ở đó đến năm giờ mới về nhà.",บ่ายวันหยุด เสี่ยวหัวกับเพื่อนไปพิพิธภัณฑ์ด้วยกัน พวกเขาอยู่ที่นั่นจนถึงห้าโมงจึงกลับบ้าน,"On a weekend afternoon, Xiaohua went to museum with a friend and stayed there until five before going home."
表演,biǎo yǎn,biểu diễn,การแสดง / แสดง,performance / to perform,學校星期五晚上有音樂表演，爸爸媽媽都來看小明唱歌。,"Tối thứ sáu ở trường có buổi biểu diễn âm nhạc, bố mẹ đều đến xem Tiểu Minh hát.",คืนวันศุกร์ที่โรงเรียนมีการแสดงดนตรี พ่อแม่ต่างก็มาดูเสี่ยวหมิงร้องเพลง,"There was a music performance at school on Friday night, and Xiaoming’s parents came to watch him sing."
音樂會,yīn lè huì,buổi hòa nhạc,คอนเสิร์ต,concert,週末下午，姐姐和朋友一起去音樂會，他們在那裡待到五點才回家。,"Chiều cuối tuần, chị gái cùng bạn đi đến buổi hòa nhạc, họ ở đó đến năm giờ mới về nhà.",บ่ายวันหยุด พี่สาวกับเพื่อนไปคอนเสิร์ตด้วยกัน พวกเขาอยู่ที่นั่นจนถึงห้าโมงจึงกลับบ้าน,"On a weekend afternoon, the older sister went to concert with a friend and stayed there until five before going home."
馬,mǎ,ngựa,ม้า,horse,小明第一次近距離看到馬，覺得牠很可愛也有一點害怕。,"Sáng Chủ nhật, Tiểu Minh nhìn thấy ngựa ở nông trại và nhờ bố chụp ảnh.",เช้าวันอาทิตย์ เสี่ยวหมิงเห็นม้าที่ฟาร์ม และขอให้พ่อช่วยถ่ายรูป,"On Sunday morning, Xiaoming saw horse on the farm and asked Dad to take a photo."
牛,niú,bò / trâu,วัว,cow / ox,爺爺正在照顧家裡的牛，小美站在旁邊安靜地看。,"Sáng Chủ nhật, Tiểu Mỹ nhìn thấy bò ở nông trại và nhờ bố chụp ảnh.",เช้าวันอาทิตย์ เสี่ยวเหม่ยเห็นวัวที่ฟาร์ม และขอให้พ่อช่วยถ่ายรูป,"On Sunday morning, Xiaomei saw cow on the farm and asked Dad to take a photo."
羊,yáng,cừu / dê,แกะ / แพะ,sheep / goat,農場裡有羊，孩子們經過的時候都停下來看牠。,"Sáng Chủ nhật, Tiểu Hoa nhìn thấy cừu ở nông trại và nhờ bố chụp ảnh.",เช้าวันอาทิตย์ เสี่ยวหัวเห็นแกะที่ฟาร์ม และขอให้พ่อช่วยถ่ายรูป,"On Sunday morning, Xiaohua saw sheep on the farm and asked Dad to take a photo."
