生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
教堂,jiào táng,nhà thờ,โบสถ์,church,週末，小美和朋友一起去教堂，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến nhà thờ, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปโบสถ์ด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the church and took many photos there."
教會,jiào huì,nhà thờ / hội thánh,โบสถ์ / คริสตจักร,church / church community,週末，小美和朋友一起去教會，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến nhà thờ / hội thánh, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปโบสถ์ / คริสตจักรด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the church / church community and took many photos there."
學校,xué xiào,trường học,โรงเรียน,school,週末，小美和朋友一起去學校，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến trường học, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปโรงเรียนด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the school and took many photos there."
博物館,bó wù guǎn,bảo tàng,พิพิธภัณฑ์,museum,週末，小美和朋友一起去博物館，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến bảo tàng, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปพิพิธภัณฑ์ด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the museum and took many photos there."
什麼動物,shén me dòng wù,con vật gì,สัตว์อะไร,what animal,小美看到一張圖片，可是不知道裡面是什麼動物。,"Tiểu Mỹ nhìn thấy một bức hình, nhưng không biết trong đó là con vật gì.",เสี่ยวเหม่ยเห็นรูปภาพหนึ่งรูป แต่ไม่รู้ว่าข้างในเป็นสัตว์อะไร,"Xiaomei saw a picture, but she did not know what animal was in it."
隻,zhī,con / cái (lượng từ),ตัว / ลักษณนามของสัตว์บางชนิด,measure word for animals,公園裡有一隻小鳥，孩子們都覺得很可愛。,"Trong công viên có một con chim nhỏ, bọn trẻ đều thấy nó rất dễ thương.",ในสวนสาธารณะมีนกตัวเล็กหนึ่งตัว เด็ก ๆ ทุกคนคิดว่ามันน่ารักมาก,"There is a small bird in the park, and the children all think it is cute."
鳥,niǎo,chim,นก,bird,爺爺家裡有很多鳥，小朋友每天都去看牠們。,"Nhà ông nội có nhiều chim, bọn trẻ ngày nào cũng đến xem chúng.",บ้านคุณปู่มีนกหลายตัว เด็ก ๆ ไปดูพวกมันทุกวัน,"Grandpa’s home has many birds, and the children go to see them every day."
雞,jī,gà,ไก่,chicken,爺爺家裡有很多雞，小朋友每天都去看牠們。,"Nhà ông nội có nhiều gà, bọn trẻ ngày nào cũng đến xem chúng.",บ้านคุณปู่มีไก่หลายตัว เด็ก ๆ ไปดูพวกมันทุกวัน,"Grandpa’s home has many chickens, and the children go to see them every day."
匹,pǐ,con (lượng từ cho ngựa),ตัว / ลักษณนามของม้า,measure word for horses,草地上有一匹馬，牠正在慢慢走。,"Trên bãi cỏ có một con ngựa, nó đang đi chậm rãi.",บนสนามหญ้ามีม้าหนึ่งตัว มันกำลังเดินช้า ๆ,"There is a horse on the grass, and it is walking slowly."
馬,mǎ,ngựa,ม้า,horse,爺爺家裡有很多馬，小朋友每天都去看牠們。,"Nhà ông nội có nhiều ngựa, bọn trẻ ngày nào cũng đến xem chúng.",บ้านคุณปู่มีม้าหลายตัว เด็ก ๆ ไปดูพวกมันทุกวัน,"Grandpa’s home has many horses, and the children go to see them every day."
