生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
多良車站,duō liáng chē zhàn,ga Duoliang,สถานีตัวเหลียง,Duoliang Station,多良車站在山上，很多遊客喜歡來這裡看海和照相。,"Ga Duoliang ở trên núi, nhiều du khách thích đến đây ngắm biển và chụp ảnh.",สถานีตัวเหลียงอยู่บนภูเขา นักท่องเที่ยวหลายคนชอบมาดูทะเลและถ่ายรูปที่นี่,"Duoliang Station is on the mountain, and many tourists like to come here to see the sea and take photos."
山上,shān shàng,trên núi,บนภูเขา,on the mountain,這個山上離學校不遠，學生走路十分鐘就到了。,"Chiều cuối tuần, Tiểu Hoa cùng bạn đi đến trên núi, họ ở đó đến năm giờ mới về nhà.",บ่ายวันหยุด เสี่ยวหัวกับเพื่อนไปบนภูเขาด้วยกัน พวกเขาอยู่ที่นั่นจนถึงห้าโมงจึงกลับบ้าน,"On a weekend afternoon, Xiaohua went to on the mountain with a friend and stayed there until five before going home."
一邊,yì biān,một bên,ด้านหนึ่ง,one side,車站的一邊是山，另一邊是海，所以風景非常漂亮。,"Một bên của nhà ga là núi, bên kia là biển, vì vậy phong cảnh rất đẹp.",ด้านหนึ่งของสถานีเป็นภูเขา อีกด้านหนึ่งเป็นทะเล ดังนั้นทิวทัศน์สวยมาก,"One side of the station is mountains and the other side is the sea, so the scenery is very beautiful."
山,shān,núi,ภูเขา,mountain,昨天看新聞的時候，姐姐注意到山，於是上網查了更多資料。,"Trong bữa tối, chị gái và gia đình nói về núi, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น พี่สาวกับครอบครัวคุยกันเรื่องภูเขา ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the older sister and the family talked about mountain, and everyone said it was important."
海,hǎi,biển,ทะเล,sea,照片裡的海很藍，天空也很乾淨。,"Biển trong bức ảnh rất xanh, bầu trời cũng rất trong.",ทะเลในรูปถ่ายเป็นสีฟ้ามาก ท้องฟ้าก็ใสมาก,"The sea in the photo is very blue, and the sky is also clear."
人們,rén men,mọi người,ผู้คน,people,公園裡有很多人們，大家都在等表演開始。,"Sáng nay, các mọi người tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้ผู้คนรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the people gathered at the school gate and prepared to join the activity together."
照相,zhào xiàng,chụp ảnh,ถ่ายรูป,to take a photo,星期六下午，小華和朋友一起照相，結束後大家都很累。,"Chiều thứ bảy, Tiểu Hoa cùng bạn chụp ảnh, sau khi kết thúc mọi người đều rất mệt.",บ่ายวันเสาร์ เสี่ยวหัวกับเพื่อนถ่ายรูปด้วยกัน หลังจบแล้วทุกคนเหนื่อยมาก,"On Saturday afternoon, Xiaohua to take a photo with a friend, and everyone was tired afterward."
照片,zhào piān,ảnh / hình chụp,รูปถ่าย,photo,弟弟在桌上看到照片，就把它拿去還給同學。,"Trước khi ra ngoài, em trai bỏ ảnh vào túi để tránh đến trường mới phát hiện mình quên mang.",ก่อนออกจากบ้าน น้องชายใส่รูปถ่ายลงในกระเป๋า เพื่อไม่ให้ถึงโรงเรียนแล้วเพิ่งพบว่าลืมเอาไป,"Before leaving, the younger brother put photo into the bag so they would not realize at school that they had forgotten it."
藍,lán,màu xanh lam,สีฟ้า / สีน้ำเงิน,blue,今天的天很藍，媽媽說很適合出去照相。,"Hôm nay trời rất xanh, mẹ nói rất thích hợp để ra ngoài chụp ảnh.",วันนี้ท้องฟ้าสีฟ้ามาก แม่บอกว่าเหมาะมากที่จะออกไปถ่ายรูป,"The sky is very blue today, and Mom said it is a good day to go out and take photos."
綠,lǜ,màu xanh lá,สีเขียว,green,春天到了，山變得很綠，很多人來這裡旅遊。,"Mùa xuân đến rồi, núi trở nên rất xanh, nhiều người đến đây du lịch.",ฤดูใบไม้ผลิมาถึงแล้ว ภูเขากลายเป็นสีเขียวมาก หลายคนมาเที่ยวที่นี่,"Spring has arrived, the mountains have become very green, and many people come here to travel."
