生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
頭髮,tóu fà,tóc,ผม,hair,朋友問起頭髮的時候，小明想了一下才回答。,"Trong bữa tối, Tiểu Minh và gia đình nói về tóc, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหมิงกับครอบครัวคุยกันเรื่องผม ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaoming and the family talked about hair, and everyone said it was important."
長,cháng,dài,ยาว,long,小美覺得今天的活動很長，所以想下次再參加。,"Tiểu Mỹ cảm thấy hoạt động hôm nay rất dài, vì vậy muốn lần sau tham gia nữa.",เสี่ยวเหม่ยรู้สึกว่ากิจกรรมวันนี้ยาวมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"Xiaomei felt today’s activity was very long, so they wanted to join again next time."
裙子,qún zi,váy,กระโปรง,skirt,昨天看新聞的時候，小華注意到裙子，於是上網查了更多資料。,"Trong bữa tối, Tiểu Hoa và gia đình nói về váy, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหัวกับครอบครัวคุยกันเรื่องกระโปรง ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaohua and the family talked about skirt, and everyone said it was important."
短,duǎn,ngắn,สั้น,short,這個地方看起來很短，很多人都想來看看。,"em trai cảm thấy hoạt động hôm nay rất ngắn, vì vậy muốn lần sau tham gia nữa.",น้องชายรู้สึกว่ากิจกรรมวันนี้สั้นมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"the younger brother felt today’s activity was very short, so they wanted to join again next time."
盤子,pán zi,đĩa,จาน,plate,弟弟找不到自己的盤子，所以請姐姐幫忙一起找。,"Trước khi ra ngoài, chị gái bỏ đĩa vào túi để tránh đến trường mới phát hiện mình quên mang.",ก่อนออกจากบ้าน พี่สาวใส่จานลงในกระเป๋า เพื่อไม่ให้ถึงโรงเรียนแล้วเพิ่งพบว่าลืมเอาไป,"Before leaving, the older sister put plate into the bag so they would not realize at school that they had forgotten it."
收,shōu,nhận / thu,รับ / เก็บ,to receive / to collect,放學以後，小明收傳真，然後才回家寫功課。,"Sau giờ học, Tiểu Minh nhận bản fax, rồi mới về nhà làm bài tập.",หลังเลิกเรียน เสี่ยวหมิงรับแฟกซ์ แล้วค่อยกลับบ้านไปทำการบ้าน,"After school, Xiaoming to receive a fax and then went home to do homework."
傳真,chuán zhēn,fax,แฟกซ์,fax,小美在桌上看到傳真，就把它拿去還給同學。,"Trước khi ra ngoài, Tiểu Mỹ bỏ fax vào túi để tránh đến trường mới phát hiện mình quên mang.",ก่อนออกจากบ้าน เสี่ยวเหม่ยใส่แฟกซ์ลงในกระเป๋า เพื่อไม่ให้ถึงโรงเรียนแล้วเพิ่งพบว่าลืมเอาไป,"Before leaving, Xiaomei put fax into the bag so they would not realize at school that they had forgotten it."
電腦,diàn nǎo,máy tính,คอมพิวเตอร์,computer,媽媽買了一個新的電腦，準備送給正在上學的妹妹。,"Trước khi ra ngoài, Tiểu Hoa bỏ máy tính vào túi để tránh đến trường mới phát hiện mình quên mang.",ก่อนออกจากบ้าน เสี่ยวหัวใส่คอมพิวเตอร์ลงในกระเป๋า เพื่อไม่ให้ถึงโรงเรียนแล้วเพิ่งพบว่าลืมเอาไป,"Before leaving, Xiaohua put computer into the bag so they would not realize at school that they had forgotten it."
桌上,zhuō shàng,trên bàn,บนโต๊ะ,on the table,弟弟找不到自己的桌上，所以請姐姐幫忙一起找。,"Trước khi ra ngoài, em trai bỏ trên bàn vào túi để tránh đến trường mới phát hiện mình quên mang.",ก่อนออกจากบ้าน น้องชายใส่บนโต๊ะลงในกระเป๋า เพื่อไม่ให้ถึงโรงเรียนแล้วเพิ่งพบว่าลืมเอาไป,"Before leaving, the younger brother put on the table into the bag so they would not realize at school that they had forgotten it."
累,lèi,mệt,เหนื่อย,tired,姐姐覺得今天的活動很累，所以想下次再參加。,"chị gái cảm thấy hoạt động hôm nay rất mệt, vì vậy muốn lần sau tham gia nữa.",พี่สาวรู้สึกว่ากิจกรรมวันนี้เหนื่อยมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"the older sister felt today’s activity was very tired, so they wanted to join again next time."
什麼東西都沒,shén me dōng xi dōu méi,không có thứ gì cả,ไม่มีอะไรเลย,there is nothing at all,小明打開冰箱，發現裡面什麼東西都沒，只好出去買晚餐。,"Tiểu Minh mở tủ lạnh và phát hiện bên trong không có gì cả, nên đành ra ngoài mua bữa tối.",เสี่ยวหมิงเปิดตู้เย็นแล้วพบว่าข้างในไม่มีอะไรเลย จึงต้องออกไปซื้ออาหารเย็น,"Xiaoming opened the refrigerator and found that there was nothing inside, so he had to go out to buy dinner."
沒有東西,méi yǒu dōng xī,không có đồ gì,ไม่มีของ,no things / nothing,林先生手上沒有東西，可是桌上已經放滿了食物。,"Trên tay ông Lâm không có đồ gì, nhưng trên bàn đã đầy thức ăn.",ในมือคุณหลินไม่มีของอะไร แต่บนโต๊ะมีอาหารวางเต็มแล้ว,"Mr. Lin had nothing in his hands, but the table was already full of food."
所有,suǒ yǒu,tất cả,ทั้งหมด,all,林先生吃完了所有食物，現在覺得很開心。,"Ông Lâm đã ăn hết tất cả thức ăn, bây giờ cảm thấy rất vui.",คุณหลินกินอาหารทั้งหมดหมดแล้ว ตอนนี้รู้สึกมีความสุขมาก,Mr. Lin finished all the food and now feels very happy.
食物,shí wù,thức ăn,อาหาร,food,午餐的時候，弟弟點了食物，吃完以後覺得很飽。,"Vào bữa trưa, em trai gọi thức ăn, sau khi ăn xong cảm thấy rất no.",ตอนอาหารกลางวัน น้องชายสั่งอาหาร กินเสร็จแล้วรู้สึกอิ่มมาก,"At lunch, the younger brother ordered food and felt very full after eating."
覺得,jué dé,cảm thấy / cho rằng,รู้สึก / คิดว่า,to feel / to think,小美覺得這條裙子太短，所以沒有買。,"Tiểu Mỹ cảm thấy chiếc váy này quá ngắn, vì vậy không mua.",เสี่ยวเหม่ยรู้สึกว่ากระโปรงตัวนี้สั้นเกินไป จึงไม่ได้ซื้อ,"Xiaomei felt that this skirt was too short, so she did not buy it."
開心,kāi xīn,vui vẻ,ดีใจ / มีความสุข,happy,這個地方看起來很開心，很多人都想來看看。,"Tiểu Minh cảm thấy hoạt động hôm nay rất vui vẻ, vì vậy muốn lần sau tham gia nữa.",เสี่ยวหมิงรู้สึกว่ากิจกรรมวันนี้ดีใจมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"Xiaoming felt today’s activity was very happy, so they wanted to join again next time."
幾乎,jǐ hū,gần như,เกือบ,almost,演講開始以前，教室裡幾乎坐滿了學生。,"Trước khi buổi diễn thuyết bắt đầu, phòng học gần như kín chỗ học sinh.",ก่อนการบรรยายเริ่ม ห้องเรียนเกือบเต็มไปด้วยนักเรียน,"Before the speech began, the classroom was almost full of students."
坐滿,zuò mǎn,ngồi kín / đầy chỗ,นั่งเต็ม,to be filled with seated people,火車站旁邊的餐廳晚上坐滿了客人，服務員忙得不得了。,"Nhà hàng bên cạnh ga tàu buổi tối đầy khách ngồi, nhân viên phục vụ bận không chịu nổi.",ร้านอาหารข้างสถานีรถไฟตอนเย็นมีลูกค้านั่งเต็ม พนักงานยุ่งมาก,"The restaurant beside the train station was full of customers at night, and the waiters were extremely busy."
慶祝,qìng zhù,chúc mừng / ăn mừng,ฉลอง,to celebrate,學生們拍照是為了慶祝畢業，大家都穿著黑色的衣服。,"Học sinh chụp ảnh để ăn mừng tốt nghiệp, mọi người đều mặc đồ màu đen.",นักเรียนถ่ายรูปเพื่อฉลองการจบการศึกษา ทุกคนใส่เสื้อผ้าสีดำ,"The students took photos to celebrate graduation, and everyone wore black clothes."
