生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
屋子,wū zi,nhà / căn nhà,บ้าน,house / room,屋子裡一個人也沒有，只有兩隻貓在沙發上玩。,"Trong nhà không có một người nào, chỉ có hai con mèo chơi trên ghế sofa.",ในบ้านไม่มีคนสักคน มีเพียงแมวสองตัวเล่นอยู่บนโซฟา,There is not a single person in the house; only two cats are playing on the sofa.
一個也……沒有,yí ge yě...méi yǒu,một... cũng không có,สักคน/สักอันก็ไม่มี,not even one,今天圖書館很安靜，裡面一個學生也沒有。,"Hôm nay thư viện rất yên tĩnh, bên trong không có một học sinh nào.",วันนี้ห้องสมุดเงียบมาก ข้างในไม่มีนักเรียนสักคน,"The library is very quiet today, and there is not even one student inside."
花瓶,huā píng,bình hoa,แจกัน,vase,媽媽把漂亮的花放進花瓶裡，客廳看起來更好看。,"Mẹ đặt những bông hoa đẹp vào bình hoa, phòng khách trông đẹp hơn.",แม่ใส่ดอกไม้สวย ๆ ลงในแจกัน ห้องนั่งเล่นดูสวยขึ้น,"Mom put the beautiful flowers into a vase, and the living room looked nicer."
掛,guà,treo,แขวน,hang,爸爸把照片掛在牆上，大家一進門就看得到。,"Bố treo ảnh lên tường, mọi người vừa vào cửa là nhìn thấy.",พ่อแขวนรูปไว้บนผนัง ทุกคนเข้าประตูก็เห็นได้ทันที,"Dad hung the photo on the wall, so everyone can see it as soon as they enter."
換,huàn,đổi / thay,เปลี่ยน,change / exchange,這件衣服太小了，小美想換大一點的。,"Áo này nhỏ quá, Tiểu Mỹ muốn đổi cái lớn hơn một chút.",เสื้อตัวนี้เล็กเกินไป เสี่ยวเหม่ยอยากเปลี่ยนเป็นตัวใหญ่กว่านิดหน่อย,"This piece of clothing is too small, so Xiaomei wants to exchange it for a larger one."
花,huā,hoa,ดอกไม้,flower,花瓶裡有很多漂亮的花，房間裡也有花香。,"Trong bình hoa có nhiều bông hoa đẹp, trong phòng cũng có hương hoa.",ในแจกันมีดอกไม้สวยมากมาย ในห้องก็มีกลิ่นหอมของดอกไม้,"There are many beautiful flowers in the vase, and the room also has a floral scent."
小狗,xiǎo gǒu,chó con,ลูกสุนัข / หมาตัวเล็ก,puppy / small dog,小狗在桌子下睡得很舒服，主人不想叫醒牠。,"Chó con ngủ rất thoải mái dưới bàn, chủ không muốn đánh thức nó.",ลูกสุนัขนอนสบายมากใต้โต๊ะ เจ้าของไม่อยากปลุกมัน,"The puppy is sleeping comfortably under the table, and its owner does not want to wake it."
桌子,zhuō zi,bàn,โต๊ะ,table,小狗跑到桌子下面，找一個舒服的地方睡覺。,"Chó con chạy xuống dưới bàn, tìm một chỗ thoải mái để ngủ.",ลูกสุนัขวิ่งไปใต้โต๊ะ หาที่สบาย ๆ เพื่อนอน,The puppy ran under the table to find a comfortable place to sleep.
隨便,suí biàn,tùy tiện / sao cũng được,ตามสบาย / ลวก ๆ,casual / whatever,老師說寫作業不能隨便，要把句子寫完整。,"Giáo viên nói làm bài tập không được tùy tiện, phải viết câu hoàn chỉnh.",ครูบอกว่าทำการบ้านอย่างลวก ๆ ไม่ได้ ต้องเขียนประโยคให้สมบูรณ์,The teacher said we cannot do homework carelessly; we must write complete sentences.
方便,fāng biàn,tiện lợi,สะดวก,convenient,這間房子離車站很近，生活非常方便。,"Căn nhà này gần nhà ga, cuộc sống rất tiện lợi.",บ้านหลังนี้อยู่ใกล้สถานี ชีวิตสะดวกมาก,"This house is close to the station, so daily life is very convenient."
舒服,shū fu,thoải mái,สบาย,comfortable,這張沙發很舒服，爸爸下班後常常坐在上面休息。,"Chiếc ghế sofa này rất thoải mái, bố thường ngồi lên đó nghỉ sau khi tan làm.",โซฟาตัวนี้สบายมาก หลังเลิกงานพ่อมักนั่งพักบนโซฟา,"This sofa is very comfortable, and Dad often rests on it after work."
貓,māo,mèo,แมว,cat,兩隻貓一起在沙發上玩兒，看起來很開心。,"Hai con mèo cùng chơi trên ghế sofa, trông rất vui.",แมวสองตัวเล่นด้วยกันบนโซฟา ดูมีความสุขมาก,Two cats are playing together on the sofa and look very happy.
沙發,shā fā,ghế sofa,โซฟา,sofa,客廳裡有一張大沙發，孩子們喜歡坐在上面看電視。,"Trong phòng khách có một chiếc ghế sofa lớn, bọn trẻ thích ngồi trên đó xem ti vi.",ในห้องนั่งเล่นมีโซฟาใหญ่หนึ่งตัว เด็ก ๆ ชอบนั่งดูโทรทัศน์บนนั้น,"There is a large sofa in the living room, and the children like sitting on it to watch TV."
