生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
好玩的地方,hǎo wán de dì fang,nơi vui chơi,สถานที่น่าเที่ยว,fun place,這位先生晚上想出去走走，所以問附近有沒有好玩的地方。,Buổi tối người đàn ông này muốn ra ngoài đi dạo nên hỏi gần đây có nơi vui chơi nào không.,ตอนกลางคืนผู้ชายคนนี้อยากออกไปเดินเล่น จึงถามว่าใกล้ ๆ มีสถานที่น่าเที่ยวไหม,The man wants to go out at night so he asks whether there are any fun places nearby.
市場,shì chǎng,chợ,ตลาด,market,附近的市場晚上很熱鬧，有很多好吃的東西。,Khu chợ gần đó buổi tối rất nhộn nhịp có nhiều món ngon.,ตลาดใกล้ ๆ ตอนกลางคืนคึกคักมาก มีของอร่อยมากมาย,The nearby market is lively at night and has many delicious foods.
熱鬧,rè nào,nhộn nhịp,คึกคัก,lively,晚上的市場很熱鬧，很多人一邊吃東西一邊逛街。,Khu chợ buổi tối rất nhộn nhịp nhiều người vừa ăn vừa đi dạo.,ตลาดตอนกลางคืนคึกคักมาก หลายคนเดินกินของไปด้วยเดินเล่นไปด้วย,The night market is very lively and many people eat while walking around.
有名,yǒu míng,nổi tiếng,มีชื่อเสียง,famous,這座大樓很有名，很多外國客人晚上都來參觀。,Tòa nhà này rất nổi tiếng nên nhiều khách nước ngoài đến tham quan vào buổi tối.,อาคารนี้มีชื่อเสียงมาก แขกชาวต่างชาติจำนวนมากมาชมตอนกลางคืน,This building is famous so many foreign visitors come to visit it at night.
參觀,cān guān,tham quan,เยี่ยมชม,to visit,旅客可以坐車去參觀最高的大樓，然後在上面看風景。,Du khách có thể đi xe đến tham quan tòa nhà cao nhất rồi ngắm cảnh ở trên đó.,นักท่องเที่ยวสามารถนั่งรถไปเยี่ยมชมอาคารที่สูงที่สุด แล้วชมวิวจากด้านบน,Tourists can take a car to visit the tallest building and then enjoy the view from the top.
大樓,dà lóu,tòa nhà lớn,อาคารสูง,building,晚上上大樓看風景，可以看到很多漂亮的燈。,Buổi tối lên tòa nhà ngắm cảnh có thể nhìn thấy nhiều ánh đèn đẹp.,ตอนกลางคืนขึ้นไปบนอาคารสูงชมวิว จะเห็นแสงไฟสวย ๆ มากมาย,At night you can go up the building to see the view and many beautiful lights.
風景,fēng jǐng,phong cảnh,ทิวทัศน์,scenery,從大樓上看出去，晚上的風景真的很漂亮。,Nhìn từ trên tòa nhà ra ngoài phong cảnh ban đêm thật sự rất đẹp.,มองออกไปจากอาคาร วิวตอนกลางคืนสวยมากจริง ๆ,Looking out from the building the night scenery is truly beautiful.
太太,tài tai,vợ / bà,ภรรยา / คุณนาย,wife / Mrs.,先生想請太太和朋友一起去中華樓吃中國菜。,Người chồng muốn mời vợ và bạn bè cùng đến Trung Hoa Lâu ăn món Trung Quốc.,สามีอยากชวนภรรยาและเพื่อนไปกินอาหารจีนที่จงหัวโหลวด้วยกัน,The husband wants to invite his wife and friends to Zhonghua Restaurant for Chinese food.
中國菜,zhōng guó cài,món Trung Quốc,อาหารจีน,Chinese food,中華樓的中國菜很不錯，所以先生想請客人去那裡吃飯。,Món Trung Quốc ở Trung Hoa Lâu rất ngon nên người chồng muốn mời khách đến đó ăn.,อาหารจีนที่จงหัวโหลวอร่อยมาก ผู้ชายจึงอยากเชิญแขกไปกินที่นั่น,The Chinese food at Zhonghua Restaurant is good so the man wants to invite the guests there.
習慣,xí guàn,quen,คุ้นเคย,to be used to,小麗的孩子在美國長大，可能不習慣用筷子吃飯。,Con của Tiểu Lệ lớn lên ở Mỹ nên có lẽ không quen dùng đũa ăn cơm.,ลูกของเสี่ยวลี่โตที่อเมริกา จึงอาจไม่ชินกับการใช้ตะเกียบกินข้าว,Xiaoli’s children grew up in the United States so they may not be used to eating with chopsticks.
