生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
最近,zuì jìn,gần đây,ช่วงนี้ / เมื่อเร็ว ๆ นี้,recently,小美最近會去公園散步，這已經成為她的習慣。,"Tiểu Mỹ gần đây sẽ đi dạo ở công viên, điều này đã trở thành thói quen của cô ấy.",เสี่ยวเหม่ยช่วงนี้ / เมื่อเร็ว ๆ นี้จะไปเดินเล่นที่สวนสาธารณะ สิ่งนี้กลายเป็นนิสัยของเธอแล้ว,"Xiaomei recently goes for a walk in the park, and it has become her habit."
都沒看到,dōu méi kàn dào,đều không thấy,ไม่เห็นเลย,have not seen at all,王先生最近都沒看到陳老師，所以很擔心。,"Gần đây anh Vương không hề thấy thầy Trần, nên rất lo lắng.",ช่วงนี้คุณหวังไม่เห็นครูเฉินเลย จึงกังวลมาก,"Mr. Wang has not seen Teacher Chen recently, so he is worried."
聽說,tīng shuō,nghe nói,ได้ยินว่า,to hear that,小王聽說陳老師生病了，所以想去醫院看他。,"Tiểu Vương nghe nói thầy Trần bị bệnh, nên muốn đến bệnh viện thăm thầy.",เสี่ยวหวังได้ยินว่าครูเฉินป่วย จึงอยากไปเยี่ยมเขาที่โรงพยาบาล,"Xiaowang heard that Teacher Chen was sick, so he wanted to visit him at the hospital."
生病,shēng bìng,bị bệnh,ป่วย,to be sick,陳老師生病了，現在在醫院裡休息。,"Thầy Trần bị bệnh, hiện đang nghỉ ngơi trong bệnh viện.",ครูเฉินป่วย ตอนนี้กำลังพักผ่อนอยู่ในโรงพยาบาล,Teacher Chen is sick and is now resting in the hospital.
醫院,yī yuàn,bệnh viện,โรงพยาบาล,hospital,週末，小美和朋友一起去醫院，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến bệnh viện, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปโรงพยาบาลด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the hospital and took many photos there."
水果,shuǐ guǒ,trái cây,ผลไม้,fruit,晚餐的時候，小美點了水果，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi trái cây và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งผลไม้ และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered fruit and chatted with her friends."
花,huā,hoa,ดอกไม้,flower,小明把花放在桌上，準備等一下使用。,"Tiểu Minh đặt hoa lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางดอกไม้ไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the flower on the table and prepared to use it later.
看書,kàn shū,đọc sách,อ่านหนังสือ,to read books,今天下午，小美要看書，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải đọc sách, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องอ่านหนังสือ ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to read books, so she arranged her time first."
有趣,yǒu qù,thú vị,น่าสนใจ / สนุก,interesting,今天的情況很有趣，所以大家都需要小心一點。,"Tình huống hôm nay rất thú vị, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้น่าสนใจ / สนุกมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very interesting, so everyone needs to be a little careful."
歡迎光臨,huān yíng guāng lín,hoan nghênh quý khách,ยินดีต้อนรับ,welcome,客人走進餐廳時，服務生笑著說歡迎光臨。,"Khi khách bước vào nhà hàng, nhân viên phục vụ mỉm cười nói hoan nghênh quý khách.",เมื่อลูกค้าเดินเข้าร้านอาหาร พนักงานยิ้มและพูดว่ายินดีต้อนรับ,"When the customer entered the restaurant, the server smiled and said welcome."
要點什麼,yào diǎn shén me,muốn gọi món gì,ต้องการสั่งอะไร,what would you like to order,服務生問客人要點什麼，客人說想要兩個漢堡。,"Nhân viên phục vụ hỏi khách muốn gọi món gì, khách nói muốn hai cái hamburger.",พนักงานถามลูกค้าว่าต้องการสั่งอะไร ลูกค้าบอกว่าอยากได้แฮมเบอร์เกอร์สองชิ้น,"The server asked what the customer wanted to order, and the customer said two hamburgers."
漢堡,hàn bǎo,hamburger,แฮมเบอร์เกอร์,hamburger,晚餐的時候，小美點了漢堡，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi hamburger và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งแฮมเบอร์เกอร์ และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered hamburger and chatted with her friends."
別的,bié de,khác,อย่างอื่น,other,小美已經買了漢堡，還想看看有沒有別的飲料。,"Tiểu Mỹ đã mua hamburger, còn muốn xem có đồ uống nào khác không.",เสี่ยวเหม่ยซื้อแฮมเบอร์เกอร์แล้ว ยังอยากดูว่ามีเครื่องดื่มอย่างอื่นไหม,Xiaomei already bought a hamburger and wanted to see if there were any other drinks.
咖啡,kā fēi,cà phê,กาแฟ,coffee,晚餐的時候，小美點了咖啡，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi cà phê và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งกาแฟ และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered coffee and chatted with her friends."
很不錯,hěn bù cuò,rất tốt / khá ngon,ดีมาก / ไม่เลว,pretty good,今天的情況很很不錯，所以大家都需要小心一點。,"Tình huống hôm nay rất rất tốt / khá ngon, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้ดีมาก / ไม่เลวมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very pretty good, so everyone needs to be a little careful."
熱咖啡,rè kā fēi,cà phê nóng,กาแฟร้อน,hot coffee,晚餐的時候，小美點了熱咖啡，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi cà phê nóng và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งกาแฟร้อน และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered hot coffee and chatted with her friends."
點,diǎn,gọi / chọn,สั่ง,to order,今天下午，小美要點，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải gọi / chọn, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องสั่ง ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to order, so she arranged her time first."
茶,chá,trà,ชา,tea,晚餐的時候，小美點了茶，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi trà và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งชา และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered tea and chatted with her friends."
