生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
還要,hái yào,còn muốn / còn cần,ยังต้องการ / ยังจะ,still want / still need,小美已經點了一碗麵，可是她還要一杯茶。,"Tiểu Mỹ đã gọi một tô mì, nhưng cô ấy còn muốn một ly trà.",เสี่ยวเหม่ยสั่งบะหมี่หนึ่งชามแล้ว แต่เธอยังอยากได้ชาอีกหนึ่งแก้ว,"Xiaomei already ordered a bowl of noodles, but she still wants a cup of tea."
點菜,diǎn cài,gọi món,สั่งอาหาร,to order food,大家坐下以後，服務生過來問他們要不要點菜。,"Sau khi mọi người ngồi xuống, nhân viên phục vụ đến hỏi họ có muốn gọi món không.",หลังจากทุกคนนั่งลงแล้ว พนักงานมาถามว่าพวกเขาจะสั่งอาหารไหม,"After everyone sat down, the server came over and asked if they wanted to order food."
不用了,bù yòng le,không cần nữa,ไม่ต้องแล้ว,no need / that is enough,服務生問小王還要不要點菜，小王說不用了。,"Nhân viên phục vụ hỏi Tiểu Vương có muốn gọi thêm món không, Tiểu Vương nói không cần nữa.",พนักงานถามเสี่ยวหวังว่ายังจะสั่งอาหารเพิ่มไหม เสี่ยวหวังบอกว่าไม่ต้องแล้ว,"The server asked Xiaowang if he wanted to order more food, and Xiaowang said no."
吃飽了,chī bǎo le,ăn no rồi,กินอิ่มแล้ว,to be full,小華吃飽了，所以他不想再點菜。,"Tiểu Hoa ăn no rồi, nên cậu ấy không muốn gọi thêm món nữa.",เสี่ยวหัวกินอิ่มแล้ว ดังนั้นเขาไม่อยากสั่งอาหารเพิ่ม,"Xiaohua was full, so he did not want to order more food."
算,suàn,tính,คิด / คำนวณ,to calculate,吃完飯以後，小王請服務生算一算一共多少錢。,"Sau khi ăn xong, Tiểu Vương nhờ nhân viên phục vụ tính tổng cộng bao nhiêu tiền.",หลังจากกินข้าวเสร็จ เสี่ยวหวังขอให้พนักงานคิดราคารวมทั้งหมด,"After finishing the meal, Xiaowang asked the server to calculate the total cost."
一共,yī gòng,tổng cộng,รวมทั้งหมด,altogether,小美買了兩本書和一枝筆，一共花了三百元。,"Tiểu Mỹ mua hai quyển sách và một cây bút, tổng cộng hết ba trăm đồng.",เสี่ยวเหม่ยซื้อหนังสือสองเล่มและปากกาหนึ่งด้าม รวมทั้งหมดสามร้อยหยวน,"Xiaomei bought two books and a pen, spending three hundred dollars altogether."
多少錢,duō shǎo qián,bao nhiêu tiền,ราคาเท่าไหร่,how much money,小王想買這件外套，所以問老闆多少錢。,"Tiểu Vương muốn mua chiếc áo khoác này, nên hỏi chủ tiệm giá bao nhiêu.",เสี่ยวหวังอยากซื้อเสื้อโค้ทตัวนี้ จึงถามเจ้าของร้านว่าราคาเท่าไหร่,"Xiaowang wanted to buy this coat, so he asked the owner how much it cost."
放假,fàng jià,nghỉ / kỳ nghỉ,วันหยุด / ปิดเทอม,to have time off,小美放假會去公園散步，這已經成為她的習慣。,"Tiểu Mỹ nghỉ / kỳ nghỉ sẽ đi dạo ở công viên, điều này đã trở thành thói quen của cô ấy.",เสี่ยวเหม่ยวันหยุด / ปิดเทอมจะไปเดินเล่นที่สวนสาธารณะ สิ่งนี้กลายเป็นนิสัยของเธอแล้ว,"Xiaomei to have time off goes for a walk in the park, and it has become her habit."
的時候,de shí hòu,khi / lúc,ตอนที่ / เมื่อ,when / during,放假的時候，小華常常和朋友一起去游泳。,"Khi nghỉ, Tiểu Hoa thường đi bơi cùng bạn bè.",ตอนวันหยุด เสี่ยวหัวมักไปว่ายน้ำกับเพื่อน,"During holidays, Xiaohua often goes swimming with friends."
常常,cháng cháng,thường xuyên,บ่อย ๆ,often,小美常常會去公園散步，這已經成為她的習慣。,"Tiểu Mỹ thường xuyên sẽ đi dạo ở công viên, điều này đã trở thành thói quen của cô ấy.",เสี่ยวเหม่ยบ่อย ๆจะไปเดินเล่นที่สวนสาธารณะ สิ่งนี้กลายเป็นนิสัยของเธอแล้ว,"Xiaomei often goes for a walk in the park, and it has become her habit."
游泳,yóu yǒng,bơi,ว่ายน้ำ,to swim,放學以後，小王和朋友一起游泳，他們玩得很開心。,"Sau giờ học, Tiểu Vương cùng bạn bè bơi, họ chơi rất vui.",หลังเลิกเรียน เสี่ยวหวังกับเพื่อนว่ายน้ำด้วยกัน พวกเขาสนุกมาก,"After school, Xiaowang and his friends to swim, and they had a lot of fun."
跳舞,tiào wǔ,nhảy múa,เต้นรำ,to dance,放學以後，小王和朋友一起跳舞，他們玩得很開心。,"Sau giờ học, Tiểu Vương cùng bạn bè nhảy múa, họ chơi rất vui.",หลังเลิกเรียน เสี่ยวหวังกับเพื่อนเต้นรำด้วยกัน พวกเขาสนุกมาก,"After school, Xiaowang and his friends to dance, and they had a lot of fun."
