生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
怎麼了,zěn me le,bị sao vậy,เป็นอะไรไป,what happened,王先生一直摸著肚子，朋友問他怎麼了。,Ông Vương cứ ôm bụng nên bạn hỏi ông ấy bị sao vậy.,คุณหวังจับท้องอยู่ตลอด เพื่อนจึงถามว่าเขาเป็นอะไรไป,Mr. Wang kept holding his stomach so his friend asked what happened.
餓,è,đói,หิว,hungry,這位先生早上沒吃早餐，所以現在覺得很餓。,Người đàn ông này không ăn sáng nên bây giờ cảm thấy rất đói.,ผู้ชายคนนี้ไม่ได้กินอาหารเช้า ตอนนี้จึงรู้สึกหิวมาก,This man did not eat breakfast so he feels very hungry now.
生病,shēng bìng,bị bệnh,ป่วย,to be sick,小華生病了，所以媽媽帶他去醫院看病。,Tiểu Hoa bị bệnh nên mẹ đưa cậu ấy đến bệnh viện khám bệnh.,เสี่ยวหัวป่วย แม่จึงพาเขาไปโรงพยาบาลหาหมอ,Xiaohua was sick so his mother took him to the hospital to see a doctor.
生氣,shēng qì,tức giận,โกรธ,angry,弟弟弄壞了哥哥的玩具，哥哥看起來很生氣。,Em trai làm hỏng đồ chơi của anh trai nên anh trai trông rất tức giận.,น้องชายทำของเล่นของพี่ชายพัง พี่ชายจึงดูโกรธมาก,The younger brother broke his older brother’s toy so the older brother looked angry.
準備,zhǔn bèi,chuẩn bị,เตรียม,to prepare,明美明天要去旅行，所以今天晚上在家準備行李。,Ngày mai Minh Mỹ đi du lịch nên tối nay cô ấy chuẩn bị hành lý ở nhà.,พรุ่งนี้หมิงเหม่ยจะไปเที่ยว ดังนั้นคืนนี้เธอเตรียมกระเป๋าที่บ้าน,Mingmei will travel tomorrow so she prepares her luggage at home tonight.
帶,dài,mang theo,พกไป,to bring,明美出門以前，把雨傘和手錶都帶進包包裡。,Trước khi ra khỏi nhà Minh Mỹ bỏ ô và đồng hồ vào túi để mang theo.,ก่อนออกจากบ้าน หมิงเหม่ยใส่ร่มและนาฬิกาไว้ในกระเป๋าเพื่อพกไป,Before leaving home Mingmei put the umbrella and watch into her bag.
旅行,lǚ xíng,du lịch,ท่องเที่ยว,travel,明美第一次自己去旅行，所以媽媽提醒她要小心。,Minh Mỹ lần đầu tự đi du lịch nên mẹ nhắc cô ấy phải cẩn thận.,หมิงเหม่ยไปท่องเที่ยวคนเดียวครั้งแรก แม่จึงเตือนให้เธอระวัง,Mingmei travels by herself for the first time so her mother reminds her to be careful.
衣服,yī fu,quần áo,เสื้อผ้า,clothes,明美把三件衣服放進行李箱，準備明天帶去旅行。,Minh Mỹ bỏ ba bộ quần áo vào va li để chuẩn bị mang đi du lịch ngày mai.,หมิงเหม่ยใส่เสื้อผ้าสามชุดลงในกระเป๋าเดินทาง เตรียมเอาไปเที่ยวพรุ่งนี้,Mingmei put three pieces of clothing into her suitcase to bring on her trip tomorrow.
雨傘,yǔ sǎn,ô dù,ร่ม,umbrella,天氣預報說會下雨，明美決定帶一把雨傘出門。,Dự báo thời tiết nói trời sẽ mưa nên Minh Mỹ quyết định mang một cái ô ra ngoài.,พยากรณ์อากาศบอกว่าฝนจะตก หมิงเหม่ยจึงตัดสินใจพกร่มออกไป,The weather forecast said it would rain so Mingmei decided to bring an umbrella.
雨衣,yǔ yī,áo mưa,เสื้อกันฝน,raincoat,山上的天氣常常變化，爸爸請明美把雨衣也帶著。,Thời tiết trên núi thường thay đổi nên bố bảo Minh Mỹ cũng mang áo mưa theo.,อากาศบนภูเขามักเปลี่ยนแปลง พ่อจึงบอกให้หมิงเหม่ยพกเสื้อกันฝนไปด้วย,The weather in the mountains often changes so Dad asked Mingmei to bring a raincoat too.
手錶,shǒu biǎo,đồng hồ đeo tay,นาฬิกาข้อมือ,watch,明美怕旅行時不知道時間，所以把手錶戴在手上。,Minh Mỹ sợ khi đi du lịch không biết giờ nên đeo đồng hồ trên tay.,หมิงเหม่ยกลัวเวลาเที่ยวแล้วไม่รู้เวลา จึงใส่นาฬิกาข้อมือไว้,Mingmei was afraid she would not know the time while traveling so she wore a watch.
草地,cǎo dì,bãi cỏ,สนามหญ้า,grassland,草地上有幾隻牛和羊，小朋友站在旁邊看牠們。,Trên bãi cỏ có vài con bò và cừu trẻ em đứng bên cạnh nhìn chúng.,บนสนามหญ้ามีวัวและแกะอยู่หลายตัว เด็ก ๆ ยืนดูอยู่ข้าง ๆ,There are several cows and sheep on the grass and the children stand nearby watching them.
