生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
教室,jiào shì,lớp học / phòng học,ห้องเรียน,classroom,林老師走進教室的時候，四位學生已經坐好了。,"Khi thầy Lâm bước vào lớp học, bốn học sinh đã ngồi xong.",ตอนที่ครูหลินเดินเข้าห้องเรียน นักเรียนสี่คนนั่งเรียบร้อยแล้ว,"When Teacher Lin entered the classroom, four students were already seated."
學生,xué shēng,học sinh / sinh viên,นักเรียน / นักศึกษา,student,這位學生正在上中文課，老師請他念新的句子。,"Học sinh này đang học lớp tiếng Trung, giáo viên mời cậu ấy đọc câu mới.",นักเรียนคนนี้กำลังเรียนวิชาภาษาจีน ครูให้เขาอ่านประโยคใหม่,"This student is taking a Chinese class, and the teacher asks him to read a new sentence."
老師,lǎo shī,giáo viên,ครู,teacher,老師今天教我們用中文介紹自己的家人。,Hôm nay giáo viên dạy chúng tôi dùng tiếng Trung giới thiệu người nhà của mình.,วันนี้ครูสอนพวกเราใช้ภาษาจีนแนะนำครอบครัวของตนเอง,The teacher teaches us today how to introduce our family members in Chinese.
中文課,Zhōng wén kè,lớp tiếng Trung,วิชาภาษาจีน,Chinese class,每個星期一早上，小美都會去教室上中文課。,"Mỗi sáng thứ Hai, Tiểu Mỹ đều đến lớp học để học tiếng Trung.",ทุกเช้าวันจันทร์ เสี่ยวเหม่ยจะไปห้องเรียนเพื่อเรียนวิชาภาษาจีน,"Every Monday morning, Xiaomei goes to the classroom for Chinese class."
一共,yí gòng,tổng cộng,ทั้งหมด / รวมกัน,in total,今天晚餐一共有六個人，所以媽媽多準備了幾雙筷子。,"Bữa tối hôm nay tổng cộng có sáu người, nên mẹ chuẩn bị thêm vài đôi đũa.",มื้อเย็นวันนี้มีทั้งหมดหกคน ดังนั้นแม่เตรียมตะเกียบเพิ่มอีกหลายคู่,"There are six people in total for dinner today, so Mom prepares a few more pairs of chopsticks."
又 A 又 B,yòu A yòu B,vừa A vừa B,ทั้ง A และ B,both A and B,這家餐廳的菜又便宜又好吃，所以每天都有很多客人。,"Món ăn ở nhà hàng này vừa rẻ vừa ngon, nên mỗi ngày đều có nhiều khách.",อาหารของร้านนี้ทั้งถูกและอร่อย ดังนั้นทุกวันจึงมีลูกค้าหลายคน,"The food at this restaurant is both cheap and delicious, so there are many customers every day."
吃菜,chī cài,ăn rau / ăn món ăn,กินผัก / กินกับข้าว,to eat vegetables / dishes,弟弟不太喜歡吃菜，媽媽每天都請他多吃一點。,"Em trai không thích ăn rau lắm, mẹ mỗi ngày đều bảo em ăn thêm một chút.",น้องชายไม่ค่อยชอบกินผัก แม่จึงขอให้เขากินเพิ่มอีกหน่อยทุกวัน,"The younger brother does not like eating vegetables much, so Mom asks him to eat more every day."
飲料,yǐn liào,đồ uống / thức uống,เครื่องดื่ม,drink / beverage,天氣太熱了，小王買了一杯冰飲料。,"Trời nóng quá, Tiểu Vương mua một ly đồ uống lạnh.",อากาศร้อนเกินไป เสี่ยวหวังซื้อเครื่องดื่มเย็นหนึ่งแก้ว,"It is too hot, so Xiaowang buys a cold drink."
筷子,kuài zi,đũa,ตะเกียบ,chopsticks,服務員把筷子放在桌上，請大家先坐下。,Nhân viên phục vụ đặt đũa lên bàn và mời mọi người ngồi xuống trước.,พนักงานเสิร์ฟวางตะเกียบบนโต๊ะ และเชิญทุกคนนั่งลงก่อน,The waiter puts the chopsticks on the table and asks everyone to sit down first.
叉子,chā zi,nĩa,ส้อม,fork,小美吃蛋糕的時候，習慣用叉子，不太用筷子。,"Khi ăn bánh, Tiểu Mỹ quen dùng nĩa, không dùng đũa nhiều.",ตอนกินเค้ก เสี่ยวเหม่ยมักใช้ส้อม ไม่ค่อยใช้ตะเกียบ,"When eating cake, Xiaomei usually uses a fork and not chopsticks."
湯匙,tāng chí,muỗng / thìa,ช้อน,spoon,這碗湯很熱，請你用湯匙慢慢喝。,"Bát canh này rất nóng, xin bạn dùng muỗng uống từ từ.",ซุปชามนี้ร้อนมาก กรุณาใช้ช้อนค่อย ๆ ดื่ม,"This bowl of soup is hot, so please use a spoon and drink slowly."
女孩,nǚ hái,cô bé / bé gái,เด็กผู้หญิง,girl,那個女孩站在草地上，看著男孩們踢足球。,Cô bé đó đứng trên bãi cỏ và nhìn các cậu bé đá bóng.,เด็กผู้หญิงคนนั้นยืนอยู่บนสนามหญ้าและมองเด็กผู้ชายเตะฟุตบอล,That girl stands on the grass and watches the boys play soccer.
站,zhàn,đứng,ยืน,to stand,小李站在門口等朋友，手裡拿著一個袋子。,"Tiểu Lý đứng ở cửa đợi bạn, trong tay cầm một cái túi.",เสี่ยวหลี่ยืนรอเพื่อนที่หน้าประตู ในมือถุงหนึ่งใบ,"Xiaoli stands at the door waiting for his friend, holding a bag in his hand."
草地,cǎo dì,bãi cỏ,สนามหญ้า,grass / lawn,孩子們在草地上玩球，旁邊有幾位家長在聊天。,"Bọn trẻ chơi bóng trên bãi cỏ, bên cạnh có vài phụ huynh đang trò chuyện.",เด็ก ๆ เล่นบอลบนสนามหญ้า ข้าง ๆ มีผู้ปกครองหลายคนกำลังคุยกัน,"The children play ball on the grass, and several parents are chatting nearby."
地上,dì shàng,trên mặt đất,บนพื้น,on the ground,地上有一個袋子，小王把它撿起來交給老師。,"Trên mặt đất có một cái túi, Tiểu Vương nhặt lên đưa cho giáo viên.",บนพื้นมีถุงใบหนึ่ง เสี่ยวหวังเก็บขึ้นมาแล้วส่งให้ครู,"There is a bag on the ground, and Xiaowang picks it up and gives it to the teacher."
袋子,dài zi,cái túi,ถุง,bag,媽媽把水果放進袋子裡，準備帶回家。,"Mẹ bỏ trái cây vào túi, chuẩn bị mang về nhà.",แม่ใส่ผลไม้ลงในถุง เตรียมนำกลับบ้าน,Mom puts the fruit into a bag and gets ready to take it home.
足球,zú qiú,bóng đá / quả bóng đá,ฟุตบอล,soccer / football,哥哥買了一個新的足球，想星期日和朋友一起踢。,Anh trai mua một quả bóng đá mới và muốn Chủ nhật đá cùng bạn bè.,พี่ชายซื้อฟุตบอลลูกใหม่ และอยากเตะกับเพื่อนในวันอาทิตย์,My older brother bought a new soccer ball and wants to play with friends on Sunday.
踢足球,tī zú qiú,đá bóng,เตะฟุตบอล,to play soccer,放學後，男孩們在草地上踢足球，玩到天黑才回家。,"Sau giờ học, các cậu bé đá bóng trên bãi cỏ, chơi đến tối mới về nhà.",หลังเลิกเรียน เด็กผู้ชายเล่นฟุตบอลบนสนามหญ้า เล่นจนฟ้ามืดจึงกลับบ้าน,"After school, the boys play soccer on the grass and go home only after it gets dark."
打籃球,dǎ lán qiú,chơi bóng rổ,เล่นบาสเกตบอล,to play basketball,小華不會踢足球，但是他很會打籃球。,"Tiểu Hoa không biết đá bóng, nhưng cậu ấy chơi bóng rổ rất giỏi.",เสี่ยวหัวเตะฟุตบอลไม่เป็น แต่เขาเล่นบาสเกตบอลเก่งมาก,"Xiaohua cannot play soccer, but he is very good at basketball."
椅子,yǐ zi,ghế,เก้าอี้,chair,爸爸把椅子搬進房間，放在窗戶下面。,Bố chuyển ghế vào phòng và đặt dưới cửa sổ.,พ่อยกเก้าอี้เข้าไปในห้องแล้ววางไว้ใต้หน้าต่าง,Dad moves the chair into the room and puts it under the window.
搬,bān,chuyển / dọn / khiêng,ย้าย / ขน,to move / carry,小明幫老師搬桌子，因為教室要打掃。,Tiểu Minh giúp giáo viên chuyển bàn vì lớp học cần dọn dẹp.,เสี่ยวหมิงช่วยครูย้ายโต๊ะ เพราะต้องทำความสะอาดห้องเรียน,Xiaoming helps the teacher move desks because the classroom needs cleaning.
出去,chū qù,đi ra ngoài / ra ngoài,ออกไป,to go out,媽媽叫弟弟把垃圾拿出去，順便買一瓶牛奶。,"Mẹ bảo em trai mang rác ra ngoài, tiện thể mua một chai sữa.",แม่บอกให้น้องชายเอาขยะออกไป และซื้อ牛奶หนึ่งขวดด้วย,Mom asks the younger brother to take the trash out and buy a bottle of milk on the way.
搬進,bān jìn,chuyển vào / mang vào,ย้ายเข้า / ขนเข้า,to move into / carry in,新家整理好以後，他們把家具搬進客廳。,"Sau khi nhà mới dọn xong, họ chuyển đồ nội thất vào phòng khách.",หลังจัดบ้านใหม่เสร็จ พวกเขาขนเฟอร์นิเจอร์เข้าไปในห้องนั่งเล่น,"After the new home is tidied up, they move the furniture into the living room."
