生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
冬天,dōng tiān,mùa đông,ฤดูหนาว,winter,冬天快到了，商店裡開始賣很多厚外套。,"Mùa đông sắp đến, trong cửa hàng bắt đầu bán nhiều áo khoác dày.",ฤดูหนาวใกล้จะมาถึง ร้านค้าเริ่มขายเสื้อคลุมหนา ๆ หลายตัว,"Winter is coming, and stores are starting to sell many thick coats."
快到,kuài dào,sắp đến,ใกล้จะถึง,to be coming soon,生日快到了，小玲想買一件漂亮的裙子。,"Sinh nhật sắp đến, Tiểu Linh muốn mua một chiếc váy đẹp.",วันเกิดใกล้จะถึง เสี่ยวหลิงอยากซื้อกระโปรงสวยหนึ่งตัว,"Her birthday is coming soon, and Xiaoling wants to buy a beautiful skirt."
付,fù,trả tiền,จ่ายเงิน,to pay,小王買了一件黑色大衣，一共付了兩千元。,"Tiểu Vương mua một chiếc áo khoác dài màu đen, tổng cộng trả hai nghìn đồng.",เสี่ยวหวังซื้อเสื้อโค้ตสีดำหนึ่งตัว รวมจ่ายสองพันหยวน,Xiaowang bought a black coat and paid two thousand yuan in total.
件,jiàn,chiếc / cái; lượng từ cho quần áo,ตัว / ชิ้น; ลักษณนามของเสื้อผ้า,measure word for clothes/items,媽媽送小李一件毛衣，因為天氣越來越冷了。,Mẹ tặng Tiểu Lý một chiếc áo len vì thời tiết ngày càng lạnh.,แม่ให้เสี่ยวหลี่เสื้อไหมพรมหนึ่งตัว เพราะอากาศยิ่งหนาวขึ้น,Mom gives Xiaoli a sweater because the weather is getting colder.
條,tiáo,"chiếc / cái; lượng từ cho quần, váy, đường",ตัว / เส้น; ลักษณนาม,"measure word for pants, skirts, roads, etc.",小美在店裡看到一條藍色裙子，想試穿一下。,Tiểu Mỹ thấy một chiếc váy màu xanh trong tiệm và muốn thử mặc.,เสี่ยวเหม่ยเห็นกระโปรงสีฟ้าหนึ่งตัวในร้าน และอยากลองใส่,Xiaomei sees a blue skirt in the shop and wants to try it on.
黑色,hēi sè,màu đen,สีดำ,black,小王覺得黑色大衣很適合上班穿。,Tiểu Vương cảm thấy áo khoác dài màu đen rất hợp để mặc đi làm.,เสี่ยวหวังคิดว่าเสื้อโค้ตสีดำเหมาะสำหรับใส่ไปทำงานมาก,Xiaowang thinks a black coat is suitable for work.
大衣,dà yī,áo khoác dài / áo choàng,เสื้อโค้ต,overcoat / coat,爸爸試穿那件大衣以後，覺得太大了。,"Sau khi bố thử mặc chiếc áo khoác dài đó, ông thấy nó quá rộng.",หลังจากพ่อลองใส่เสื้อโค้ตตัวนั้น เขาคิดว่ามันใหญ่เกินไป,"After trying on that coat, Dad thinks it is too large."
時間,shí jiān,thời gian,เวลา,time,小李今天有時間，所以可以陪小王去商店。,"Hôm nay Tiểu Lý có thời gian, nên có thể đi cùng Tiểu Vương đến cửa hàng.",วันนี้เสี่ยวหลี่มีเวลา จึงสามารถไปที่ร้านค้ากับเสี่ยวหวังได้,"Xiaoli has time today, so he can go to the store with Xiaowang."
所以,suǒ yǐ,vì vậy / cho nên,ดังนั้น,so / therefore,小王沒有外套，所以他下午想去買衣服。,"Tiểu Vương không có áo khoác, nên chiều nay cậu ấy muốn đi mua quần áo.",เสี่ยวหวังไม่มีเสื้อคลุม ดังนั้นบ่ายนี้เขาอยากไปซื้อเสื้อผ้า,"Xiaowang does not have a jacket, so he wants to buy clothes this afternoon."
A 和 B 一起,A hé B yì qǐ,A và B cùng nhau,A กับ B ด้วยกัน,A and B together,小李和小王一起去商店，幫彼此選衣服。,"Tiểu Lý và Tiểu Vương cùng đi cửa hàng, giúp nhau chọn quần áo.",เสี่ยวหลี่กับเสี่ยวหวังไปที่ร้านค้าด้วยกัน และช่วยกันเลือกเสื้อผ้า,Xiaoli and Xiaowang go to the store together and help each other choose clothes.
