生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
出太陽,chū tài yáng,có nắng / mặt trời lên,แดดออก,sunny / the sun is out,今天外面出太陽，孩子們想去公園玩。,"Hôm nay bên ngoài có nắng, bọn trẻ muốn đi công viên chơi.",วันนี้ข้างนอกแดดออก เด็ก ๆ อยากไปเล่นที่สวนสาธารณะ,"It is sunny outside today, so the children want to go to the park."
下雨,xià yǔ,mưa,ฝนตก,rain,下午開始下雨，小明只好留在家裡看書。,"Buổi chiều bắt đầu mưa, Tiểu Minh đành ở nhà đọc sách.",ตอนบ่ายเริ่มฝนตก เสี่ยวหมิงจึงต้องอยู่บ้านอ่านหนังสือ,"It started raining in the afternoon, so Xiaoming had to stay home and read."
電視,diàn shì,ti vi,โทรทัศน์,television,晚飯以後，爸爸和媽媽一起看電視新聞。,"Sau bữa tối, bố mẹ cùng xem tin tức trên ti vi.",หลังอาหารเย็น พ่อกับแม่ดูข่าวทางโทรทัศน์ด้วยกัน,"After dinner, Mom and Dad watch the TV news together."
水果,shuǐ guǒ,trái cây,ผลไม้,fruit,桌子上有很多水果，客人可以自己拿來吃。,"Trên bàn có nhiều trái cây, khách có thể tự lấy ăn.",บนโต๊ะมีผลไม้มากมาย แขกสามารถหยิบมากินเองได้,"There is a lot of fruit on the table, and guests can take some to eat."
椅子,yǐ zi,ghế,เก้าอี้,chair,小華把書包放在椅子上，然後去洗手。,Tiểu Hoa đặt cặp sách lên ghế rồi đi rửa tay.,เสี่ยวหัววางกระเป๋านักเรียนบนเก้าอี้ แล้วไปล้างมือ,Xiaohua put her schoolbag on the chair and then went to wash her hands.
桌子,zhuō zi,bàn,โต๊ะ,table,老師把今天的作業放在桌子上。,Giáo viên đặt bài tập hôm nay lên bàn.,ครูวางการบ้านวันนี้ไว้บนโต๊ะ,The teacher put today’s homework on the table.
地上,dì shàng,trên đất / dưới đất,บนพื้น,on the ground,妹妹的玩具都在地上，媽媽請她收起來。,"Đồ chơi của em gái đều ở trên đất, mẹ bảo em ấy dọn lại.",ของเล่นของน้องสาวอยู่บนพื้นทั้งหมด แม่ขอให้เธอเก็บ,"My younger sister’s toys were all on the ground, so Mom asked her to put them away."
眼鏡,yǎn jìng,kính mắt,แว่นตา,glasses,弟弟找不到眼鏡，所以看不清楚黑板上的字。,"Em trai không tìm thấy kính, nên không nhìn rõ chữ trên bảng.",น้องชายหาแว่นตาไม่เจอ ดังนั้นจึงมองตัวหนังสือบนกระดานไม่ชัด,"My younger brother could not find his glasses, so he could not see the words on the board clearly."
壞,huài,hỏng,เสีย,broken,弟弟的眼鏡壞了，媽媽明天要帶他去買新的。,"Kính của em trai bị hỏng, mẹ ngày mai sẽ dẫn em đi mua kính mới.",แว่นตาของน้องชายเสีย แม่จะพาเขาไปซื้ออันใหม่พรุ่งนี้,"My younger brother’s glasses broke, and Mom will take him to buy new ones tomorrow."
找不到,zhǎo bú dào,tìm không thấy,หาไม่เจอ,cannot find,小美找不到車票，所以她很著急。,Tiểu Mỹ tìm không thấy vé xe nên cô ấy rất sốt ruột.,เสี่ยวเหม่ยหาตั๋วรถไม่เจอ ดังนั้นเธอจึงร้อนใจมาก,"Xiaomei could not find her ticket, so she was very worried."
戴,dài,đeo / đội,สวม / ใส่,wear,天氣很冷，小男孩出門以前戴了帽子。,"Trời rất lạnh, cậu bé đội mũ trước khi ra ngoài.",อากาศหนาวมาก เด็กชายสวมหมวกก่อนออกจากบ้าน,"The weather was very cold, so the boy put on a hat before going out."
睡覺,shuì jiào,ngủ,นอน,sleep,弟弟太累了，戴著眼鏡就睡覺了。,"Em trai mệt quá, đeo kính rồi ngủ luôn.",น้องชายเหนื่อยเกินไป จึงนอนหลับทั้งที่ยังใส่แว่นตาอยู่,My younger brother was so tired that he fell asleep wearing his glasses.
