生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
朋友們,péng yǒu men,các bạn bè,เพื่อน ๆ,friends,小王和朋友們一起到游泳池游泳，大家玩得很開心。,"Tiểu Vương cùng các bạn đến hồ bơi bơi, mọi người chơi rất vui.",เสี่ยวหวังไปว่ายน้ำที่สระว่ายน้ำกับเพื่อน ๆ ทุกคนเล่นกันอย่างสนุก,"Xiaowang went swimming at the pool with his friends, and everyone had a great time."
一起,yì qǐ,cùng nhau,ด้วยกัน,together,星期六下午，小美和哥哥一起去公園散步。,"Chiều thứ Bảy, Tiểu Mỹ cùng anh trai đi dạo ở công viên.",บ่ายวันเสาร์ เสี่ยวเหม่ยไปเดินเล่นที่สวนสาธารณะกับพี่ชายด้วยกัน,"On Saturday afternoon, Xiaomei and her older brother went for a walk in the park together."
游泳池,yóu yǒng chí,hồ bơi,สระว่ายน้ำ,swimming pool,學校後面有一個新的游泳池，學生下課後可以去游泳。,"Phía sau trường có một hồ bơi mới, học sinh có thể đi bơi sau giờ học.",ด้านหลังโรงเรียนมีสระว่ายน้ำใหม่ นักเรียนสามารถไปว่ายน้ำหลังเลิกเรียนได้,"There is a new swimming pool behind the school, and students can swim there after class."
游泳,yóu yǒng,bơi lội,ว่ายน้ำ,to swim / swimming,小明每個星期三去游泳，因為他想讓身體更健康。,Mỗi thứ Tư Tiểu Minh đi bơi vì cậu ấy muốn cơ thể khỏe mạnh hơn.,เสี่ยวหมิงไปว่ายน้ำทุกวันพุธ เพราะเขาอยากให้ร่างกายแข็งแรงขึ้น,Xiaoming goes swimming every Wednesday because he wants to be healthier.
打籃球,dǎ lán qiú,chơi bóng rổ,เล่นบาสเกตบอล,to play basketball,晚餐以後，小華常常和同學在學校打籃球。,"Sau bữa tối, Tiểu Hoa thường chơi bóng rổ với bạn học ở trường.",หลังอาหารเย็น เสี่ยวหัวมักเล่นบาสเกตบอลกับเพื่อนร่วมชั้นที่โรงเรียน,"After dinner, Xiaohua often plays basketball with his classmates at school."
自己,zì jǐ,tự mình / bản thân,เอง / ด้วยตัวเอง,oneself / by oneself,媽媽今天很忙，所以小明自己騎車去市場買菜。,"Hôm nay mẹ rất bận, nên Tiểu Minh tự mình đi xe đến chợ mua rau.",วันนี้แม่ยุ่งมาก ดังนั้นเสี่ยวหมิงจึงขี่รถไปตลาดซื้อผักเอง,"Mom is very busy today, so Xiaoming rides to the market by himself to buy vegetables."
一個人,yí ge rén,một mình,คนเดียว,alone / one person,小華喜歡一個人跑步，因為他覺得這樣比較安靜。,Tiểu Hoa thích chạy bộ một mình vì cậu ấy thấy như vậy yên tĩnh hơn.,เสี่ยวหัวชอบวิ่งคนเดียว เพราะเขาคิดว่าแบบนี้เงียบกว่า,Xiaohua likes running alone because he thinks it is quieter.
喜歡,xǐ huān,thích,ชอบ,to like,小美很喜歡看雜誌，吃飯的時候也常常看。,"Tiểu Mỹ rất thích đọc tạp chí, ngay cả khi ăn cơm cũng thường xem.",เสี่ยวเหม่ยชอบอ่านนิตยสารมาก แม้ตอนกินข้าวก็มักอ่าน,Xiaomei likes reading magazines very much and often reads them while eating.
吃飯,chī fàn,ăn cơm / ăn bữa ăn,กินข้าว,to eat a meal,爸爸說吃飯的時候不要一直看電腦，應該好好聊天。,"Bố nói khi ăn cơm đừng cứ nhìn máy tính, nên trò chuyện cho đàng hoàng.",พ่อบอกว่าตอนกินข้าวอย่าดูคอมพิวเตอร์ตลอด ควรคุยกันดี ๆ,Dad says not to keep looking at the computer while eating and that we should talk properly.
的時候,de shí hòu,khi / lúc,ตอนที่ / เมื่อ,when / during,小明等公車的時候，常常拿出手機看新聞。,"Khi đợi xe buýt, Tiểu Minh thường lấy điện thoại ra xem tin tức.",ตอนที่เสี่ยวหมิงรอรถเมล์ เขามักหยิบมือถือออกมาดูข่าว,"When Xiaoming waits for the bus, he often takes out his phone to read the news."
雜誌,zá zhì,tạp chí,นิตยสาร,magazine,姐姐在咖啡店裡看一本旅遊雜誌，想找暑假可以去的地方。,Chị gái đọc một cuốn tạp chí du lịch trong quán cà phê và muốn tìm nơi có thể đi vào kỳ nghỉ hè.,พี่สาวอ่านนิตยสารท่องเที่ยวในร้านกาแฟ และอยากหาสถานที่ที่ไปได้ในช่วงปิดเทอมฤดูร้อน,My older sister reads a travel magazine in a café and wants to find a place to visit during summer vacation.
