生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
游泳,yóu yǒng,bơi lội,ว่ายน้ำ,to swim / swimming,下課後，小王和朋友一起去游泳池游泳，游完以後他們都很餓。,Sau giờ học Tiểu Vương cùng bạn đi bơi ở hồ bơi sau khi bơi xong họ đều rất đói.,หลังเลิกเรียน เสี่ยวหวังกับเพื่อนไปว่ายน้ำที่สระว่ายน้ำด้วยกัน หลังว่ายน้ำเสร็จพวกเขาก็หิวมาก,After class Xiao Wang went swimming at the pool with his friends and they were all very hungry afterward.
跳高,tiào gāo,nhảy cao,กระโดดสูง,high jump,體育課的時候，小美在操場練習跳高，老師說她的動作比上次好。,Trong giờ thể dục Tiểu Mỹ luyện nhảy cao ở sân vận động giáo viên nói động tác của cô ấy tốt hơn lần trước.,ในคาบพละ เสี่ยวเหม่ยฝึกกระโดดสูงที่สนาม ครูบอกว่าท่าทางของเธอดีกว่าครั้งก่อน,During PE class Xiaomei practiced the high jump on the field and the teacher said her movements were better than last time.
跳舞,tiào wǔ,nhảy múa,เต้นรำ,to dance,晚上學校有表演，小華在台上跳舞，很多同學都為她拍手。,Buổi tối trường có buổi biểu diễn Tiểu Hoa nhảy trên sân khấu rất nhiều bạn học vỗ tay cho cô ấy.,ตอนเย็นโรงเรียนมีการแสดง เสี่ยวหัวเต้นรำบนเวที เพื่อนร่วมชั้นหลายคนปรบมือให้เธอ,There was a performance at school in the evening. Xiaohua danced on stage and many classmates clapped for her.
滑雪,huá xuě,trượt tuyết,เล่นสกี,to ski / skiing,寒假的時候，小明跟家人去山上滑雪，回來以後還想再去一次。,Vào kỳ nghỉ đông Tiểu Minh đi trượt tuyết trên núi với gia đình sau khi về nhà cậu ấy vẫn muốn đi thêm lần nữa.,ช่วงปิดเทอมฤดูหนาว เสี่ยวหมิงไปเล่นสกีบนภูเขากับครอบครัว กลับมาแล้วยังอยากไปอีกครั้ง,During winter vacation Xiaoming went skiing in the mountains with his family and wanted to go again after he came back.
博物館,bó wù guǎn,bảo tàng,พิพิธภัณฑ์,museum,週末爸爸帶小明去博物館看展覽，他看到很多有趣的東西。,Cuối tuần bố đưa Tiểu Minh đi bảo tàng xem triển lãm cậu ấy nhìn thấy nhiều thứ thú vị.,วันหยุดสุดสัปดาห์ พ่อพาเสี่ยวหมิงไปพิพิธภัณฑ์เพื่อดูนิทรรศการ เขาได้เห็นสิ่งที่น่าสนใจมากมาย,On the weekend Xiaoming’s father took him to the museum to see an exhibition and he saw many interesting things.
表演,biǎo yǎn,biểu diễn / buổi biểu diễn,การแสดง / แสดง,performance / to perform,學校星期五晚上有音樂表演，爸爸媽媽都來看小明唱歌。,Tối thứ sáu trường có buổi biểu diễn âm nhạc bố mẹ đều đến xem Tiểu Minh hát.,คืนวันศุกร์ที่โรงเรียนมีการแสดงดนตรี พ่อแม่ต่างก็มาดูเสี่ยวหมิงร้องเพลง,There was a music performance at school on Friday night and Xiaoming’s parents came to watch him sing.
音樂會,yīn yuè huì,buổi hòa nhạc,คอนเสิร์ต,concert,週末晚上，小美和姐姐去聽音樂會，回家後還一直談今天的歌。,Tối cuối tuần Tiểu Mỹ và chị gái đi nghe hòa nhạc sau khi về nhà vẫn nói mãi về những bài hát hôm nay.,คืนวันหยุด เสี่ยวเหม่ยกับพี่สาวไปฟังคอนเสิร์ต หลังกลับบ้านแล้วยังคุยเรื่องเพลงวันนี้ไม่หยุด,On the weekend evening Xiaomei and her older sister went to a concert and they kept talking about the songs after they got home.
馬,mǎ,ngựa,ม้า,horse,爺爺家後面有一匹馬，弟弟第一次看到牠時有一點害怕。,Phía sau nhà ông có một con ngựa khi em trai lần đầu nhìn thấy nó thì hơi sợ.,หลังบ้านคุณปู่มีม้าหนึ่งตัว ตอนน้องชายเห็นมันครั้งแรก เขารู้สึกกลัวนิดหน่อย,There is a horse behind Grandpa’s house. When the younger brother saw it for the first time he was a little scared.
牛,niú,bò / trâu,วัว,cow / ox,農場裡有兩頭牛正在吃草，小朋友站在旁邊安靜地看。,Trong nông trại có hai con bò đang ăn cỏ các em nhỏ đứng bên cạnh yên lặng nhìn.,ในฟาร์มมีวัวสองตัวกำลังกินหญ้า เด็ก ๆ ยืนดูอยู่ข้าง ๆ อย่างเงียบ ๆ,There are two cows eating grass on the farm and the children stand quietly beside them watching.
羊,yáng,cừu / dê,แกะ / แพะ,sheep / goat,山上的草地上有很多羊，牠們一邊走一邊吃草。,Trên bãi cỏ trên núi có rất nhiều cừu chúng vừa đi vừa ăn cỏ.,บนสนามหญ้าบนภูเขามีแกะหลายตัว พวกมันเดินไปกินหญ้าไป,There are many sheep on the grass in the mountains and they eat grass while walking.
